,Id,HubId,RelativeToMaxCap
177,2070,4599_2022-01-11,0.967551622418879
178,2072,4599_2022-01-31,0.8176991150442477
179,2073,4599_2022-02-14,0.7504424778761063
180,2074,4599_2022-02-11,0.8861356932153392
181,2075,4599_2022-02-03,0.8448377581120944
182,2077,4599_2022-03-09,0.8235988200589971
183,2086,4599_2022-02-16,0.7115044247787611
184,2087,4599_2022-04-21,0.7115044247787611
185,2089,4599_2022-01-27,0.8530973451327434
186,2090,4599_2022-03-01,0.7958702064896755
187,2091,4599_2022-03-17,0.7864306784660767
188,2092,4599_2022-03-02,0.7398230088495575
189,2093,4599_2022-03-15,0.7740412979351032
190,2098,4599_2022-01-12,0.7882005899705016
191,2099,4599_2022-04-28,0.8306784660766962
192,2101,4599_2022-03-21,0.7899705014749262
193,2102,4599_2022-02-28,0.7274336283185839
194,2103,4599_2022-04-27,0.9563421828908555
195,2104,4599_2022-03-25,0.7628318584070796
196,2105,4599_2022-02-08,0.7651917404129792
197,2106,4599_2022-02-17,0.735693215339233
198,2107,4599_2022-02-21,0.7533923303834809
199,2108,4599_2022-03-14,0.7274336283185839
200,2113,4599_2022-04-08,0.7769911504424778
201,2118,4599_2022-03-12,0.5297949584338965
202,2119,4599_2022-04-15,0.7020648967551623
203,2121,4599_2022-04-14,0.7988200589970501
204,2122,4599_2022-01-06,0.7168141592920354
205,2123,4599_2022-03-05,0.7327433628318584
206,2124,4599_2022-03-08,0.8147492625368731
207,2128,4599_2022-04-12,0.743362831858407
208,2129,4599_2022-04-20,0.7392330383480825
209,2130,4599_2022-04-05,0.7828908554572273
210,2131,4599_2022-04-04,0.7551622418879056
211,2133,4599_2022-04-26,0.9050147492625369
212,2135,4599_2022-03-28,0.8389380530973453
213,2136,4599_2022-03-07,0.7592920353982301
214,2137,4599_2022-02-09,0.8047197640117995
215,2138,4599_2022-01-18,0.8064896755162242
216,2139,4599_2022-03-10,0.7309734513274336
217,2142,4599_2022-03-24,0.7410029498525074
218,2144,4599_2022-03-31,0.7882005899705016
219,2146,4599_2022-04-11,0.8477876106194691
220,2147,4599_2022-03-16,0.7002949852507374
221,2150,4599_2022-03-30,0.735693215339233
222,2152,4599_2022-04-06,0.7911504424778761
223,2153,4599_2022-03-23,0.7646017699115045
224,2154,4599_2022-04-29,0.759882005899705
225,2155,4599_2022-03-22,0.8430678466076696
226,2156,4599_2022-04-13,0.8696165191740413
227,2157,4599_2022-03-29,0.8353982300884956
228,2158,4599_2022-04-01,0.8601769911504425
229,2159,4599_2022-04-19,0.44826608116563865
230,2160,4599_2022-04-07,0.7581120943952803
231,2169,4671_2022-01-31,0.0005344357864257484
232,2240,7913_2022-04-26,0.6902771208871538
233,2243,7913_2022-04-22,0.7325612064215026
234,2246,7913_2022-04-21,1.0
235,2247,7913_2022-04-29,0.6412588075959129
236,2250,7913_2022-04-28,0.7794254304430949
237,2251,7913_2022-04-25,0.7615367237404409
238,2252,7913_2022-02-09,1.0
239,2254,7913_2022-04-27,0.655011978102307
240,2349,C001_2022-04-28,0.7580647688952954
241,2389,C001_2022-03-11,0.8481764206955047
242,2413,C001_2022-04-16,0.8837998303647159
243,2414,C001_2022-03-18,0.8261238337574216
244,2417,C001_2022-03-04,0.8651399491094147
245,2450,C001_2022-04-29,0.840809120295846
246,2457,C001_2022-01-28,0.778343653477866
247,2481,C001_2022-03-10,0.6925052074043746
248,2486,C001_2022-02-04,0.87092182474469
249,2495,C001_2022-01-21,0.7841966306643507
250,2508,C001_2022-02-18,0.8719253604749788
251,2510,C001_2022-03-24,0.765340207737787
252,2516,C001_2022-04-01,0.8498727735368957
253,2518,C001_2022-02-10,0.6842976317119516
254,2519,C001_2022-04-08,0.7825990808409973
255,2522,C001_2022-02-11,0.8312964354778299
256,2528,C001_2022-03-25,0.8464800678541137
257,2537,C001_2022-04-21,0.8285126097223078
258,2543,C001_2022-02-08,0.8371501272264631
259,2547,C001_2022-02-07,0.7094047227410369
260,2549,C001_2022-02-21,0.7414077212721525
261,2575,C001_2022-02-14,0.7169109809867639
262,2576,C001_2022-03-01,0.7828668363019508
263,2578,C001_2022-01-06,0.678703088521325
264,2587,C001_2022-02-25,0.803909308627157
265,2590,C001_2022-02-28,0.7722079149629911
266,2592,C001_2022-03-31,0.7906397488749666
267,2594,C001_2022-04-11,0.7735479962533162
268,2595,C001_2022-01-14,0.7775948941150516
269,2600,C001_2022-04-24,0.8008160545899058
270,2602,C001_2022-01-30,0.8651399491094147
271,2605,C001_2022-03-29,0.8439355385920271
272,2607,C001_2022-02-02,0.8464800678541137
273,2608,C001_2022-03-07,0.796263376789132
274,2610,C001_2022-01-12,0.7701441899915182
275,2615,C001_2022-04-20,0.8324577174394671
276,2616,C001_2022-01-07,0.6625140100547232
277,2617,C001_2022-01-10,0.663704213461264
278,2618,C001_2022-02-17,0.825275657336726
279,2619,C001_2022-03-03,0.7326151692083916
280,2621,C001_2022-03-17,0.8040712468193384
281,2625,C001_2022-03-28,0.816793893129771
282,2636,C001_2022-01-31,0.830364715860899
283,2637,C001_2022-04-04,0.6836544298677755
284,2638,C001_2022-02-16,0.7478462860654149
285,2648,C001_2022-01-13,0.6236614458011528
286,2650,C001_2022-02-23,0.8159457167090755
287,2652,C001_2022-02-24,0.8159457167090755
288,2653,C001_2022-03-23,0.81509754028838
289,2654,C001_2022-02-22,0.8363019508057676
290,2655,C001_2022-04-26,0.7968100190138593
291,2657,C001_2022-03-16,0.7989821882951654
292,2659,C001_2022-01-20,0.81509754028838
293,2666,C001_2022-03-21,0.7415010555776792
294,2670,C001_2022-01-26,0.6751769985896964
295,2672,C001_2022-03-22,0.8015267175572519
296,2676,C001_2022-02-03,0.8363019508057676
297,2677,C001_2022-01-11,0.7828668363019508
298,2678,C001_2022-02-01,0.711401440341913
299,2679,C001_2022-01-19,0.8592027141645463
300,2680,C001_2022-01-04,0.8939779474130619
301,2682,C001_2022-03-09,0.7989821882951654
302,2683,C001_2022-03-02,0.8091603053435114
303,2684,C001_2022-02-09,0.8108566581849024
304,2686,C001_2022-03-15,0.8541136556403731
305,2687,C001_2022-04-06,0.9737065309584394
306,2688,C001_2022-04-27,0.8180269292585965
307,2690,C001_2022-02-15,0.7903298493287192
308,2691,C001_2022-04-13,0.7281876560105545
309,2692,C001_2022-01-17,0.7942249497855878
310,2693,C001_2022-01-25,0.8312128922815946
311,2694,C001_2022-01-18,0.7784944346290303
312,2696,C001_2022-01-05,0.7692960135708228
313,2697,C001_2022-04-12,0.8413910093299406
314,2698,C001_2022-03-30,0.8363019508057676
315,2700,C001_2022-01-24,0.7972858354537745
316,2701,C001_2022-03-08,0.8227311280746396
317,2702,C001_2022-04-05,0.8532654792196777
318,2703,C001_2022-04-25,0.744717072650891
319,2704,C001_2022-03-14,0.7302676117508269
320,2883,C003_2022-04-22,0.8487261146496815
321,2900,C003_2022-02-11,0.8582802547770702
322,2938,C003_2022-01-14,0.8152866242038216
323,2946,C003_2022-04-01,0.8662420382165604
324,2956,C003_2022-03-25,0.8949044585987261
325,2971,C003_2022-02-04,0.9729299363057325
326,3064,C003_2022-03-18,0.8349256900212314
327,3065,C003_2022-02-25,0.8322717622080679
328,3077,C003_2022-02-14,0.8312101910828025
329,3086,C003_2022-01-07,0.8858811040339702
330,3087,C003_2022-01-28,0.9018046709129512
331,3094,C003_2022-02-18,0.8800424628450106
332,3107,C003_2022-04-28,0.8476645435244161
333,3112,C003_2022-02-22,0.8503184713375797
334,3119,C003_2022-02-03,0.7728237791932059
335,3124,C003_2022-01-24,0.8237791932059447
336,3126,C003_2022-02-24,0.8089171974522293
337,3127,C003_2022-03-11,0.8434182590233545
338,3128,C003_2022-03-24,0.8487261146496815
339,3131,C003_2022-02-10,0.807855626326964
340,3144,C003_2022-02-28,0.8550955414012739
341,3148,C003_2022-03-07,1.0
342,3149,C003_2022-04-15,0.8179405520169851
343,3157,C003_2022-01-21,0.8869426751592356
344,3159,C003_2022-03-17,0.8359872611464968
345,3162,C003_2022-01-20,0.8227176220806793
346,3163,C003_2022-02-16,0.8428874734607219
347,3169,C003_2022-04-08,0.9904458598726115
348,3170,C003_2022-04-07,0.8248407643312102
349,3173,C003_2022-02-02,0.8954352441613588
350,3179,C003_2022-01-17,0.8370488322717623
351,3185,C003_2022-01-03,0.8598726114649682
352,3188,C003_2022-02-23,0.8588110403397028
353,3189,C003_2022-01-27,0.8359872611464968
354,3193,C003_2022-03-03,0.9952229299363058
355,3194,C003_2022-01-26,0.8142250530785562
356,3200,C003_2022-01-06,0.0036598485360439387
357,3204,C003_2022-02-17,0.8566878980891719
358,3205,C003_2022-02-08,0.826963906581741
359,3210,C003_2022-02-01,0.821656050955414
360,3218,C003_2022-04-04,0.8646496815286624
361,3219,C003_2022-03-01,0.8179405520169851
362,3225,C003_2022-02-07,0.8503184713375797
363,3226,C003_2022-01-05,0.7829087048832272
364,3230,C003_2022-01-04,0.7887473460721868
365,3231,C003_2022-01-12,0.7738853503184714
